timestamp	 clinton_538_po	 clinton_538_po	 clinton_bf	 trump_bf	 clinton_538_nc	 clinton_538_nc	 clinton_538_pp	 clinton_538_pp
2016-10-25 09:38:00 -0400	0.8629	0.1364	0.855	0.148	0.8656	0.1343	0.8398	0.1598
2016-10-25 09:12:00 -0400	0.8608	0.1389	0.855	0.148	0.8636	0.1358	0.8356	0.1639
2016-10-25 08:52:00 -0400	0.8588	0.1409	0.83	0.168	0.8617	0.1374	0.8342	0.1655
2016-10-24 23:07:00 -0400	0.863	0.13675	0.837	0.164	0.86705	0.1323	0.83875	0.16085
2016-10-24 18:59:00 -0400	0.861	0.1388	0.837	0.165	0.8658	0.1331	0.84	0.1598
2016-10-24 18:27:00 -0400	0.8507	0.1491	0.837	0.165	0.8533	0.1459	0.8297	0.17
2016-10-24 17:07:00 -0400	0.8536	0.1462	0.837	0.165	0.8579	0.1415	0.831	0.1686
2016-10-24 16:44:00 -0400	0.8565	0.1431	0.837	0.164	0.8544	0.1451	0.8308	0.1687
2016-10-24 14:28:00 -0400	0.8519	0.1478	0.837	0.164	0.8577	0.1417	0.8325	0.1672
2016-10-24 13:35:00 -0400	0.8645	0.1354	0.837	0.164	0.8673	0.1324	0.839	0.1609
2016-10-24 13:00:00 -0400	0.8656	0.1342	0.837	0.164	0.8668	0.133	0.8398	0.1599
2016-10-24 11:53:00 -0400	0.8624	0.1375	0.83	0.168	0.8654	0.1342	0.8414	0.1583
2016-10-24 09:18:00 -0400	0.8622	0.1376	0.83	0.168	0.8656	0.1335	0.8403	0.1593
2016-10-23 16:41:00 -0400	0.8604	0.1394	0.84	0.162	0.8604	0.1389	0.837	0.1624
2016-10-23 11:06:00 -0400	0.8739	0.1259	0.83	0.168	0.8785	0.1209	0.8503	0.1493
2016-10-23 10:00:00 -0400	0.8694	0.1303	0.83	0.168	0.8751	0.1247	0.8489	0.1508
2016-10-22 13:41:00 -0400	0.8582	0.1416	0.837	0.164	0.8624	0.1373	0.8335	0.1661
2016-10-22 11:22:00 -0400	0.8596	0.1401	0.837	0.162	0.8583	0.1412	0.8299	0.1693
2016-10-22 11:01:00 -0400	0.8583	0.1414	0.837	0.162	0.859	0.1404	0.8326	0.1672
2016-10-22 08:35:00 -0400	0.8581	0.1417	0.837	0.164	0.8598	0.1395	0.8351	0.1646
2016-10-21 18:22:00 -0400	0.8674	0.1324	0.837	0.162	0.8655	0.1337	0.8408	0.1588
2016-10-21 17:32:00 -0400	0.8629	0.1367	0.837	0.162	0.8635	0.1361	0.8386	0.1611
2016-10-21 16:15:00 -0400	0.8611	0.1387	0.837	0.162	0.863	0.1361	0.8388	0.1609
2016-10-21 15:01:00 -0400	0.8648	0.1349	0.837	0.162	0.866	0.1332	0.8353	0.1644
2016-10-21 14:41:00 -0400	0.8677	0.1322	0.837	0.162	0.8667	0.1328	0.8393	0.1604
2016-10-21 14:11:00 -0400	0.8651	0.1347	0.837	0.162	0.8641	0.1354	0.8376	0.1619
2016-10-21 13:50:00 -0400	0.8639	0.1356	0.837	0.162	0.8609	0.1385	0.836	0.1635
2016-10-21 12:26:00 -0400	0.8663	0.1334	0.84	0.159	0.8624	0.1371	0.8393	0.1601
2016-10-21 09:43:00 -0400	0.8621	0.1377	0.84	0.159	0.8649	0.1346	0.8374	0.1619
2016-10-20 21:31:00 -0400	0.8703	0.12955	0.844	0.156	0.87	0.12945	0.84065	0.1592
2016-10-20 20:28:00 -0400	0.8693	0.1304	0.844	0.156	0.8739	0.1257	0.841	0.1586
2016-10-20 19:01:00 -0400	0.8659	0.134	0.844	0.156	0.8722	0.1272	0.8406	0.159
2016-10-20 14:28:00 -0400	0.8689	0.131	0.844	0.154	0.8723	0.1274	0.8407	0.1588
2016-10-20 13:33:00 -0400	0.8671	0.1327	0.844	0.154	0.8643	0.1349	0.8381	0.1612
2016-10-20 12:44:00 -0400	0.8616	0.1379	0.844	0.154	0.8653	0.1342	0.8344	0.1654
2016-10-20 12:19:00 -0400	0.8607	0.1391	0.844	0.154	0.8651	0.1341	0.8326	0.167
2016-10-20 09:16:00 -0400	0.8624	0.1372	0.844	0.154	0.8616	0.138	0.834	0.1659
2016-10-20 07:56:00 -0400	0.8722	0.1274	0.848	0.154	0.8789	0.1203	0.8459	0.1539
2016-10-19 17:36:00 -0400	0.8711	0.1287	0.83	0.168	0.8747	0.1249	0.8465	0.1531
2016-10-19 17:17:00 -0400	0.8691	0.1302	0.83	0.168	0.8726	0.127	0.8419	0.1578
